name,num_nodes,num_edges
Adipose_Subcutaneous,14479,42257
Adipose_Visceral,14645,42724
Adrenal_Gland,14261,41426
Artery_Aorta,14167,41210
Artery_Coronary,14557,42350
Artery_Tibial,13764,40235
Bladder,15182,44947
Brain_Amygdala,14559,42532
Brain_Anterior_cingulate_cortex,14590,42588
Brain_Caudate,14841,43054
Brain_Cerebellar_Hemisphere,14840,42950
Brain_Cerebellum,15062,43434
Brain_Cortex,14794,42799
Brain_Frontal_Cortex,14695,42749
Brain_Hippocampus,14704,42836
Brain_Hypothalamus,15192,44392
Brain_Nucleus_accumbens,14817,43156
Brain_Putamen,14429,42047
Brain_Spinal_cord,14645,42456
Brain_Substantia_nigra,14579,42336
Breast_Mammary_Tissue,15287,44487
Cells_Cultured_fibroblasts,12900,37558
Cells_EBV-transformed_lymphocytes,12830,37227
Colon_Sigmoid,14528,42504
Colon_Transverse,15246,42976
Esophagus_Gastroesophageal_Junction,14415,41980
Esophagus_Mucosa,14462,41983
Esophagus_Muscularis,14297,41909
Heart_Atrial_Appendage,13963,40755
Heart_Left_Ventricle,12999,37855
Kidney_Cortex,15041,43785
Liver,13379,38905
Lung,15619,45517
Minor_Salivary_Gland,15262,44112
Muscle_Skeletal,12354,35846
Nerve_Tibial,15198,44301
Ovary,14921,43382
Pancreas,13649,39687
Pituitary,16224,46915
Prostate,15928,46104
Skin_Not_Sun_Exposed,14871,42981
Skin_Sun_Exposed,14936,43638
Small_Intestine_Terminal_Ileum,15746,44881
Spleen,15398,44650
Stomach,14925,42759
Testis,19608,56499
Thyroid,15524,45279
Uterus,14882,41806
Vagina,15546,44758
Whole_Blood,12095,35493